Gap,Avg_Smoothed_log10_RT
50.0,2.791737143470908
60.0,2.785484962086023
70.0,2.779703048234214
80.0,2.7741770942609647
90.0,2.7691569367820428
100.0,2.7668504211480847
110.0,2.76476311346048
120.0,2.7634320966031978
130.0,2.7630338024829633
140.0,2.7613844213103302
150.0,2.761833752495068
160.0,2.764335771436196
170.0,2.766531746558251
180.0,2.767618873135996
190.0,2.768204407172936
200.0,2.7671436297372973
210.0,2.765470351153327
220.0,2.7635781134533604
230.0,2.7583197091055003
240.0,2.7544227743970073
250.0,2.754354133748311
260.0,2.7519868583674456
270.0,2.7521079695323105
280.0,2.75815603117624
290.0,2.762598401856164
300.0,2.7623745022262725
310.0,2.763131057214734
320.0,2.7619536088624055
330.0,2.7584018947721174
340.0,2.7580324104422784
350.0,2.7583051145031
360.0,2.757317378794456
370.0,2.7538637125619676
380.0,2.747648603666349
390.0,2.74180655069042
400.0,2.738646513398481
410.0,2.737090378859922
420.0,2.738979111142768
430.0,2.743597753109727
440.0,2.7479208999927702
450.0,2.7521872026463465
460.0,2.756338752963153
470.0,2.7582617224991353
480.0,2.7601798803611937
490.0,2.7618051156158763
500.0,2.762978944636376
