Gap,Avg_Smoothed_log10_RT
50.0,2.765355521389354
60.0,2.7623024197718227
70.0,2.7592738136516917
80.0,2.7567704055229414
90.0,2.7546628546914023
100.0,2.7538232825107043
110.0,2.7513493982888195
120.0,2.7519751682421525
130.0,2.7513883720951835
140.0,2.745760085403793
150.0,2.7404593441027743
160.0,2.739108394003984
170.0,2.738678847380021
180.0,2.738401956736718
190.0,2.740657833815951
200.0,2.743189619611083
210.0,2.743282371800633
220.0,2.7430588168408927
230.0,2.7434945880581165
240.0,2.7424774799643465
250.0,2.7424981517947304
260.0,2.744023114379618
270.0,2.745503307334106
280.0,2.747181250390032
290.0,2.7483384768111914
300.0,2.74791249573842
310.0,2.7467403299677478
320.0,2.745237676513766
330.0,2.7431100523212137
340.0,2.7420818698445446
350.0,2.742653692581652
360.0,2.7424757978861107
370.0,2.7399436196529137
380.0,2.7383022342006473
390.0,2.738517235145913
400.0,2.7382250929787233
410.0,2.7405019197802876
420.0,2.7463126806532525
430.0,2.7494848103804888
440.0,2.7504072885767568
450.0,2.753707354175574
460.0,2.7561045570644613
470.0,2.752821608144844
480.0,2.748648898586575
490.0,2.7438867201593937
500.0,2.738328248278172
