Gap,Avg_log10_RT,Smoothed_log10_RT
50,2.807791752899632,2.8002883313625766
60,2.79288142170756,2.794531229389705
70,2.7823277176254937,2.7891900622044803
80,2.7823826011208643,2.7841599408876405
90,2.7755522427409054,2.7800509583617803
100,2.772844832262864,2.778459257271724
110,2.793324052473968,2.7773796470114878
120,2.768730561413513,2.778127067845099
130,2.775771914031608,2.7792287303294687
140,2.778360185821512,2.778414362690222
150,2.797967528347845,2.7787279877346207
160,2.756135048218797,2.7796399333654285
170,2.782364259087637,2.7803785838057657
180,2.8323654404066394,2.7800367001085298
190,2.7831404098304353,2.7799081124167118
200,2.7885594610945184,2.7791358007238935
210,2.764595552811684,2.779191191693989
220,2.766841056869775,2.780999951995751
230,2.7989703510466253,2.776997860999987
240,2.8033287859121527,2.7697973716321544
250,2.7242350604740517,2.762421936574644
260,2.7428957278867663,2.7551871751021206
270,2.8012523593441765,2.748296110258512
280,2.7378963065461974,2.752214462796784
290,2.766612693641012,2.7577439933927015
300,2.779786212699404,2.76352852183369
310,2.7501757331142085,2.769339539893519
320,2.7729441145085767,2.7706808273509487
330,2.7887665615126815,2.769718097892067
340,2.766762209462971,2.76987726736556
350,2.756868649775311,2.769486806779245
360,2.808766304631871,2.7674651268051575
370,2.7653065283192055,2.76355792736073
380,2.783649517780442,2.7596603696439588
390,2.740813164741817,2.7539195490272257
400,2.734721961120446,2.7493225373519903
410,2.746805385707098,2.7472574466858304
420,2.751070246342111,2.750015275829052
430,2.7560558259835255,2.7551095665227994
440,2.7562046506555324,2.7600882726290963
450,2.7691028165657245,2.7649375468412547
460,2.7644425684546476,2.768113460335171
470,2.7886798167266322,2.7688781883891003
480,2.7634324202287477,2.7695967725752206
490,2.772271841312711,2.7700239100233057
500,2.7666717131185132,2.770138331252269
