Gap,CombinedAvgRT,CombinedAvgRT_Z
50.0,467.8960834856395,3.652261916949004
60.0,456.33078426017505,2.9045844163823205
70.0,445.70547371325307,2.2176756319579893
80.0,435.3700589345471,1.5495081303296425
90.0,424.0040602474909,0.814715080524991
100.0,419.94789201594494,0.5524905011070329
110.0,418.7412222239541,0.47448129127192673
120.0,416.9818333716877,0.3607397067315926
130.0,412.31945356266414,0.05932454968767237
140.0,406.9078538026257,-0.2905264402239445
150.0,403.3133304638722,-0.5229064395006083
160.0,399.2279631211197,-0.7870186932502087
170.0,397.96104953331434,-0.8689225650219539
180.0,398.05904734300464,-0.8625871684202884
190.0,398.93726657319013,-0.8058117451325855
200.0,399.81667279559014,-0.7489595847579437
210.0,399.2376336717961,-0.7863935081151016
220.0,398.5019372858141,-0.8339550648308882
230.0,400.66664723803507,-0.6940101403654
240.0,402.3106397469534,-0.5877287389026491
250.0,401.9356053862874,-0.611974091136337
260.0,403.83877387006436,-0.4889373907996469
270.0,409.7106976430639,-0.10932721344705254
280.0,417.12728536338966,0.370142937853251
290.0,423.258469954608,0.7665138990629474
300.0,427.1818128123187,1.020151537357729
310.0,426.44662750621814,0.9726230211124828
320.0,417.1099325434529,0.36902110669392
330.0,405.9109019066275,-0.3549777343282899
340.0,396.9086455423786,-0.9369587455123569
350.0,393.7412736302083,-1.1417241102892912
360.0,395.44225614342804,-1.0317583991392023
370.0,399.381569120106,-0.7770883190199218
380.0,403.67760120845327,-0.49935693727603475
390.0,410.0982233405163,-0.08427431691337478
400.0,413.11865723543855,0.11099174764377955
410.0,411.0746029182995,-0.021152989216644755
420.0,411.07415027235334,-0.021182252029743203
430.0,412.78403895662825,0.0893592283749354
440.0,409.77246726022304,-0.10533390967962196
450.0,408.38192536764615,-0.19523014724397283
460.0,408.3638311023716,-0.19639991162026177
470.0,405.2003053974092,-0.40091662545130935
480.0,404.39688458308365,-0.4528564546461775
490.0,403.56496087121127,-0.5066389491090406
500.0,402.7445660834687,-0.5596761176612142
