Gap,InAveRT,InAveRT_Z
50.0,424.04579549438193,2.015760046919456
60.0,418.19824283737154,1.669671701378075
70.0,412.93057051213503,1.3579036666414228
80.0,408.1990196951718,1.077866069694843
90.0,402.2743424888325,0.7272130952833195
100.0,399.8341658003395,0.582790845072932
110.0,399.34814197623285,0.5540254467866738
120.0,395.9967619642231,0.3556734811577044
130.0,389.56304858541813,-0.025106881083007005
140.0,380.8670889812935,-0.5397786504219507
150.0,373.92561877061064,-0.9506106825131724
160.0,368.19029334641664,-1.2900568412101905
170.0,367.73540563698725,-1.3169794435359319
180.0,369.16130221431627,-1.2325875250177987
190.0,371.07295923139145,-1.1194457966591913
200.0,372.2785654354485,-1.0480917993529315
210.0,373.61050356218243,-0.9692608268618687
220.0,377.0606102426848,-0.7650657074618171
230.0,381.7036962137726,-0.49026391666242813
240.0,384.7149724325245,-0.3120410487988035
250.0,386.03354864018445,-0.234000903639587
260.0,387.0014033063088,-0.17671826938713373
270.0,388.94003223346493,-0.06198020418753895
280.0,395.99777250706927,0.3557332902987674
290.0,402.5346489355282,0.7426193742439158
300.0,409.12924069212073,1.1329213491776118
310.0,413.6116603566322,1.3982140787528006
320.0,408.65453387916864,1.104825750018731
330.0,394.567570143662,0.2710865331383022
340.0,383.10258396888554,-0.40747051963594505
350.0,377.36058027893,-0.7473119325673521
360.0,376.3342972739593,-0.8080526574621902
370.0,381.699453913582,-0.49051499788227976
380.0,390.61765021647574,0.03730988625647184
390.0,401.57385113841906,0.6857544019203816
400.0,410.12713422344007,1.1919818385032988
410.0,412.9457007350794,1.3587991513225595
420.0,412.6908653324498,1.3437166769859283
430.0,408.59678266014623,1.1014077348221512
440.0,398.1896853853521,0.4854620069279888
450.0,387.75059859213724,-0.13237702576465685
460.0,380.9446377875705,-0.5351889118360224
470.0,373.962219885183,-0.9484444396539253
480.0,367.86855955795744,-1.309098707283703
490.0,362.12837158640434,-1.648832656629106
500.0,356.33936269807117,-1.9914560797949752
