Gap,OutAveRT,OutAveRT_Z
50.0,518.6130755051548,4.033896069518264
60.0,499.6154804807074,3.1775771242651394
70.0,481.8276780912868,2.375789731656866
80.0,463.9915292969833,1.571823118869254
90.0,444.54755486229163,0.6953835664934309
100.0,437.19122776568685,0.3637962128207619
110.0,433.6197884315105,0.20281314313526688
120.0,431.69710905985534,0.1161481326706829
130.0,429.1171819761343,-0.00014239970033340753
140.0,427.8715096630197,-0.05629123327240482
150.0,428.69442752778326,-0.019198108743881722
160.0,428.13672647336637,-0.04433655274535985
170.0,427.9478406647898,-0.052850603927387205
180.0,427.4487613375537,-0.07534666632615207
190.0,426.48891054727244,-0.11861205940755609
200.0,425.2280303520615,-0.17544639014595279
210.0,420.34596584733316,-0.3955060514855494
220.0,413.86032740910866,-0.6878470061993717
230.0,413.11900808434547,-0.7212620664456854
240.0,414.2343568343375,-0.6709875835991196
250.0,414.49042763550017,-0.6594451605671758
260.0,418.23146549164136,-0.49081741652903216
270.0,419.5240953662667,-0.4325519650643913
280.0,418.6587086380683,-0.4715593788645744
290.0,420.9305989026243,-0.3691536442138517
300.0,419.28320654340644,-0.44341005854672466
310.0,416.4594827370615,-0.5706897583415561
320.0,414.15868647043817,-0.6743984346104094
330.0,412.9369132485919,-0.7294700136878424
340.0,409.69708608577224,-0.8755056237373229
350.0,410.28344819329857,-0.8490752792222835
360.0,414.59022889048026,-0.6549466066560353
370.0,417.250494830869,-0.5350347903848198
380.0,417.95262627899274,-0.5033861285245876
390.0,421.40393470577925,-0.34781797434687184
400.0,421.13358114254385,-0.3600041946456645
410.0,417.1677317941849,-0.5387653444990693
420.0,415.11409292783986,-0.6313333703832053
430.0,416.5505773623455,-0.5665836568407574
440.0,417.79284704220015,-0.5105881973836988
450.0,423.2026030353582,-0.26674277694092796
460.0,428.20287001841467,-0.04135512427200946
470.0,430.69442837347066,0.07095217672543395
480.0,437.2101618950369,0.36464967104289214
490.0,443.42057883926316,0.6445849828767463
500.0,449.59832577831367,0.9230476901868426
