Gap,Tone,tGap,Key,RT
190,2,190,M,413
90,1,90,M,749
450,1,450,M,730
50,2,50,C,976
360,1,360,C,694
490,2,490,C,184
470,1,470,C,526
330,2,330,C,824
180,2,180,C,885
120,1,120,M,913
150,1,150,M,548
50,1,50,M,558
310,1,310,M,632
420,1,420,M,556
70,2,70,M,642
260,1,260,M,1472
160,2,160,C,581
410,1,410,M,800
350,1,350,M,1005
410,2,410,C,570
240,2,240,C,670
100,2,100,C,729
140,2,140,C,452
480,1,480,C,445
390,2,390,C,778
250,1,250,M,1027
130,1,130,C,717
80,2,80,C,546
360,2,360,C,732
430,1,430,M,557
350,2,350,C,677
60,1,60,M,1041
200,1,200,M,819
250,2,250,C,634
270,2,270,M,627
460,2,460,C,573
210,1,210,M,670
200,2,200,C,658
210,2,210,C,689
430,2,430,C,577
450,2,450,C,798
80,1,80,C,770
340,1,340,M,779
170,1,170,C,680
110,2,110,C,922
220,2,220,C,638
150,2,150,C,654
490,1,490,M,712
340,2,340,C,764
400,1,400,M,676
330,1,330,M,1205
290,1,290,M,754
130,2,130,C,612
400,2,400,C,669
140,1,140,M,1084
390,1,390,M,801
110,1,110,C,745
300,1,300,M,840
280,1,280,C,762
470,2,470,M,430
320,2,320,C,672
100,1,100,M,890
370,1,370,M,724
230,1,230,M,806
160,1,160,C,624
170,2,170,C,678
420,2,420,C,569
380,2,380,C,692
300,2,300,C,819
480,2,480,C,889
320,1,320,M,649
370,2,370,C,668
460,1,460,M,536
440,2,440,C,638
380,1,380,M,537
220,1,220,M,1018
60,2,60,C,510
240,1,240,M,1244
260,2,260,C,557
500,1,500,C,687
440,1,440,C,578
280,2,280,C,603
190,1,190,M,917
500,2,500,C,604
290,2,290,C,699
180,1,180,M,845
270,1,270,C,872
230,2,230,C,744
70,1,70,M,658
310,2,310,C,652
90,2,90,C,844
120,2,120,C,984
