Gap,Tone,tGap,Key,RT
460,1,460,M,680
320,1,320,M,1300
400,1,400,C,691
280,2,280,C,596
390,1,390,M,1073
90,1,90,M,842
480,2,480,C,743
190,2,190,M,457
330,1,330,M,657
100,2,100,C,585
190,1,190,M,822
290,1,290,C,439
240,1,240,M,796
410,1,410,C,645
170,1,170,M,726
170,2,170,C,822
110,1,110,M,897
200,1,200,M,937
370,1,370,M,775
380,1,380,M,805
490,1,490,M,779
80,1,80,C,643
260,1,260,C,635
230,2,230,C,926
230,1,230,M,1029
100,1,100,M,848
380,2,380,C,867
120,1,120,M,762
340,2,340,C,400
350,1,350,C,663
180,1,180,C,1208
220,1,220,M,676
50,1,50,M,901
220,2,220,C,612
420,1,420,M,889
160,2,160,C,601
90,2,90,C,656
270,1,270,M,881
260,2,260,C,749
240,2,240,C,772
440,2,440,C,948
440,1,440,M,828
210,1,210,M,819
60,2,60,C,515
50,2,50,C,1064
330,2,330,C,833
350,2,350,C,1322
390,2,390,C,610
300,1,300,M,752
300,2,300,C,1020
140,1,140,M,935
290,2,290,C,905
200,2,200,C,724
270,2,270,C,687
110,2,110,C,731
150,1,150,M,702
410,2,410,C,588
480,1,480,M,708
430,1,430,M,1632
310,1,310,M,968
500,1,500,M,866
80,2,80,C,563
450,2,450,M,558
280,1,280,C,622
490,2,490,C,851
450,1,450,M,688
470,1,470,M,815
370,2,370,M,1837
70,2,70,C,571
400,2,400,C,849
420,2,420,C,1298
360,1,360,M,564
320,2,320,C,698
150,2,150,M,463
430,2,430,M,788
70,1,70,C,725
310,2,310,M,550
180,2,180,C,564
340,1,340,M,852
470,2,470,C,886
130,1,130,M,814
60,1,60,C,568
120,2,120,M,489
360,2,360,C,760
160,1,160,M,937
500,2,500,C,483
250,1,250,M,686
460,2,460,C,607
140,2,140,M,573
130,2,130,M,1036
250,2,250,C,539
210,2,210,M,1028
