Gap,OutAveRT,OutAveRT_Z
50.0,993.6240054911195,2.0612852892167743
60.0,993.3295598127768,2.055184661667065
70.0,992.9102898478401,2.0464977965269324
80.0,992.3130525206338,2.0341236210505724
90.0,991.4358568608811,2.0159489817130463
100.0,985.6731990378618,1.896552326708534
110.0,976.5981464224027,1.708526079176099
120.0,965.5112698541831,1.4788167996478983
130.0,950.3330160039247,1.1643381694416932
140.0,928.6946839424327,0.7160130133481141
150.0,904.541090674388,0.21557409590549717
160.0,881.1769253508735,-0.26850864373883304
170.0,861.9307349142775,-0.6672709562485456
180.0,851.6102624260604,-0.8811010900172003
190.0,854.1000666649263,-0.829514772233563
200.0,866.1132319817887,-0.5806136924019549
210.0,878.9951872008147,-0.3137121323395608
220.0,883.8182972196375,-0.21378199235001166
230.0,878.1698942377349,-0.3308113983756044
240.0,866.9372756599078,-0.5635403103330046
250.0,857.7098968059528,-0.7547226091015863
260.0,847.9606395130395,-0.9567177206111387
270.0,842.1857690686185,-1.076367409231211
280.0,842.2431034438802,-1.075179496841953
290.0,844.4772382269571,-1.0288904010599567
300.0,848.4194099505095,-0.9472124441690659
310.0,858.9142984264685,-0.7297685810839656
320.0,872.0872568195539,-0.45683771880626484
330.0,882.6045207943711,-0.23893025718733274
340.0,892.727466860789,-0.02919267841016447
350.0,898.824823133999,0.0971386023547592
360.0,894.7060268106426,0.011801155857550817
370.0,884.9348604516762,-0.19064789015260078
380.0,874.4985489589991,-0.40687809522105167
390.0,859.1036772475912,-0.7258448364395352
400.0,845.7978922210242,-1.0015277371377482
410.0,846.9823460432149,-0.9769870080644438
420.0,857.9350424509454,-0.7500578107174847
430.0,869.7377556463366,-0.5055170937798666
440.0,882.2112416523714,-0.2470786178014632
450.0,895.4633754398315,0.027492681499797795
460.0,902.7816769716957,0.17912075834458338
470.0,897.6856324167998,0.07353568071286487
480.0,888.2950347540373,-0.12102835273508547
490.0,877.9794105993333,-0.33475803375752655
500.0,866.1935330350055,-0.5789499328240155
