Gap,InAveRT,InAveRT_Z
50.0,962.1154428084958,2.056853347717381
60.0,961.533936677355,2.038731968526164
70.0,960.4850260068272,2.0060449391373987
80.0,958.9554370971506,1.958378613445268
90.0,956.2046196666683,1.872655345754553
100.0,946.1113741321395,1.55812120792453
110.0,935.9496272136165,1.2414523728178908
120.0,926.1187895720201,0.9350956086662284
130.0,914.9160030941403,0.5859850303037584
140.0,902.7849592775003,0.2079473223344164
150.0,891.2678609627103,-0.1509581037105071
160.0,879.9585350150368,-0.5033887539132774
170.0,867.1120511344792,-0.9037216020239709
180.0,860.4065751357962,-1.1126832392664694
190.0,864.6720038461317,-0.9797603912795515
200.0,875.7764917409515,-0.6337130753698692
210.0,879.6092895079648,-0.5142722337693939
220.0,879.2418579319935,-0.5257224430766276
230.0,884.8201935982256,-0.35188569321233526
240.0,887.3709442683053,-0.27239707281880493
250.0,887.5492927008964,-0.2668392301718093
260.0,892.7257350202118,-0.10552661607134331
270.0,893.5899608001093,-0.0785948913212983
280.0,889.006608524963,-0.22142513866866265
290.0,881.4818644804334,-0.4559174902458607
300.0,876.3414521162041,-0.616107308827256
310.0,874.9999999999999,-0.6579107588044835
320.0,872.0568742731552,-0.7496268980633164
330.0,864.1761731482464,-0.9952118811432901
340.0,857.79485098066,-1.194071966269625
350.0,852.467498729263,-1.3600873615731177
360.0,847.6516651604401,-1.5101623849459935
370.0,850.7999999999996,-1.412051348117114
380.0,859.3672280167556,-1.1450722412852152
390.0,869.4678650420981,-0.8303077636519638
400.0,876.4933680045984,-0.6113731791743775
410.0,881.4126055365322,-0.45807579523630837
420.0,890.8685753321845,-0.16340097564062264
430.0,899.670036986857,0.11087751522992109
440.0,904.3974305418608,0.2581964971093945
450.0,911.8469826459257,0.49034565470751723
460.0,919.1330151087458,0.717399076825784
470.0,917.9714099007476,0.6812001662427949
480.0,917.985582041114,0.6816418103042694
490.0,918.2180209081356,0.6888852641949661
500.0,918.268363961068,0.6904540964100987
