Gap,CombinedAvgRT,CombinedAvgRT_Z
50.0,944.3240704843734,1.5005815665534021
60.0,953.4254425788383,1.759030855912444
70.0,961.7324966962375,1.9949241048671362
80.0,969.6055732613456,2.2184938064683912
90.0,973.0759674353338,2.3170416846073896
100.0,964.3609855918138,2.069564618418161
110.0,955.1934593116819,1.8092367659044326
120.0,945.1854495908,1.5250419243559443
130.0,932.3008409339309,1.1591610531560586
140.0,915.8588238443065,0.6922613826078174
150.0,898.3317409783663,0.1945493822387597
160.0,880.9490553862597,-0.2990622064099175
170.0,864.0050328998299,-0.7802171932678467
180.0,855.0107268796323,-1.0356261552430968
190.0,858.8539575448557,-0.9264909365133932
200.0,869.1151668767894,-0.6351060516546072
210.0,874.1087282382998,-0.4933051921954054
220.0,874.2314772904137,-0.48981951938046414
230.0,870.3487279775845,-0.600076938838163
240.0,864.7999577306625,-0.7576439201953722
250.0,861.5781427673811,-0.8491329593274833
260.0,861.8224490725883,-0.8421954569035225
270.0,863.1304844979078,-0.8050515161194864
280.0,864.0349621456926,-0.7793673002798459
290.0,862.8133789509197,-0.8140562796233006
300.0,862.9027776989997,-0.8115176466928992
310.0,869.4178630484114,-0.6265104674245136
320.0,879.1394415713098,-0.35044933789227223
330.0,881.6114326297046,-0.28025285260269933
340.0,883.0501396072201,-0.23939826583540239
350.0,883.8768344509974,-0.21592282799224802
360.0,878.5905847114554,-0.3660350829773967
370.0,871.4747674191035,-0.5681010905341675
380.0,868.5239657709112,-0.6518942352489717
390.0,865.4096665310946,-0.7403301784263213
400.0,859.9472926584385,-0.895443784479183
410.0,857.7875842558773,-0.9567724606470503
420.0,864.1814252887639,-0.7752082246095867
430.0,874.8946199447265,-0.47098843040048133
440.0,883.3710968928181,-0.2302841255149725
450.0,896.341824001413,0.13804222889538226
460.0,908.4064671006367,0.4806387520351327
470.0,904.6133064480528,0.37292535839405644
480.0,898.7106568681455,0.20530935792416793
490.0,892.426019104764,0.026846138646192477
500.0,885.2338382964459,-0.17738834375476234
