Gap,Tone,tGap,Key,RT
50,2,50,M,1287
460,1,460,M,887
440,1,440,M,1937
70,1,70,M,970
230,1,230,C,7617
480,2,480,M,826
250,1,250,C,921
440,2,440,C,1598
280,2,280,M,1151
370,1,370,M,512
460,2,460,M,1411
250,2,250,C,492
110,2,110,M,578
240,1,240,M,606
260,1,260,C,389
450,2,450,C,501
270,2,270,C,648
150,2,150,C,1444
200,1,200,M,355
490,1,490,M,582
230,2,230,M,639
330,1,330,C,1196
490,2,490,C,1249
60,1,60,M,589
120,1,120,M,575
260,2,260,M,578
500,2,500,C,544
470,1,470,C,569
310,1,310,C,760
410,1,410,C,646
340,2,340,M,652
80,1,80,M,412
170,2,170,M,387
50,1,50,M,407
130,1,130,M,404
70,2,70,C,708
160,1,160,C,830
200,2,200,M,664
220,1,220,C,442
150,1,150,C,813
450,1,450,C,1087
170,1,170,M,453
100,2,100,M,467
390,1,390,M,520
180,1,180,C,520
380,1,380,M,1163
400,2,400,M,581
500,1,500,M,555
470,2,470,C,573
240,2,240,M,524
420,1,420,C,1448
210,2,210,M,649
90,1,90,M,464
60,2,60,M,481
110,1,110,M,636
160,2,160,M,675
390,2,390,C,520
210,1,210,C,638
480,1,480,C,569
380,2,380,C,691
410,2,410,C,784
100,1,100,M,568
220,2,220,M,765
140,1,140,C,702
350,2,350,C,707
320,2,320,C,1225
140,2,140,M,627
130,2,130,M,407
430,2,430,M,578
400,1,400,M,474
270,1,270,C,1856
420,2,420,C,529
430,1,430,M,469
290,1,290,C,375
190,1,190,M,744
180,2,180,M,359
80,2,80,M,529
290,2,290,M,539
360,2,360,M,1274
370,2,370,C,603
300,2,300,C,531
280,1,280,C,831
310,2,310,C,611
360,1,360,C,719
330,2,330,C,603
340,1,340,M,569
190,2,190,M,694
120,2,120,C,373
90,2,90,C,457
300,1,300,M,533
350,1,350,C,577
320,1,320,C,411
