Gap,OutAveRT,OutAveRT_Z
50.0,600.1349914910246,-2.2280709945525095
60.0,629.8610324572749,-1.6704620495225175
70.0,658.5077734178907,-1.1330988996926321
80.0,685.4334916168191,-0.6280191503871114
90.0,710.4218823034122,-0.15928030337521795
100.0,720.3121857686591,0.02624462702315651
110.0,727.7995326746013,0.16669426221124475
120.0,727.6359204238456,0.1636251803028449
130.0,723.7290620243888,0.09033929628700609
140.0,720.2092244426359,0.02431325121539684
150.0,712.2643646198352,-0.12471853237236234
160.0,700.6446055502656,-0.34268504878945544
170.0,697.4546109585268,-0.40252381174380913
180.0,697.8689115034648,-0.39475225245508616
190.0,693.9917322695036,-0.46748140682838113
200.0,694.7774959060763,-0.45274184453921873
210.0,694.5952502785103,-0.45616045626214446
220.0,693.3626077006963,-0.47928269202150003
230.0,686.9536825331204,-0.5995030067793782
240.0,680.9375339264751,-0.7123555148380154
250.0,678.3344111703367,-0.7611855805531879
260.0,673.6336446107589,-0.8493638039867906
270.0,675.3843685123352,-0.8165232616183968
280.0,686.0463345783602,-0.6165232798928881
290.0,698.8868932488557,-0.37565668141178177
300.0,708.7312311032262,-0.190993986109483
310.0,714.3412915762423,-0.08575898675438456
320.0,716.8774051456585,-0.0381858971013089
330.0,717.9916660876854,-0.017284295402072002
340.0,721.114325213492,0.0412913710583952
350.0,723.4414189473986,0.08494361130871404
360.0,725.5438910337316,0.12438233923572627
370.0,729.2216684933147,0.193371062342903
380.0,728.6081870688075,0.18186321539135827
390.0,722.2701889071704,0.06297336818550334
400.0,721.2067885218346,0.04302582227164159
410.0,729.5698182263313,0.19990174719125783
420.0,732.8099227273453,0.26068048508806063
430.0,734.6241892984361,0.2947129776711701
440.0,742.6387038747807,0.44505136356375785
450.0,740.7606830282216,0.4098229514054377
460.0,758.4312336354169,0.741291817150602
470.0,805.047278618821,1.615727928376399
480.0,839.5701048294585,2.2633162407461245
490.0,875.3930283066104,2.935292121781336
500.0,912.6275266167,3.6337466971814965
