Gap,CombinedAvgRT,CombinedAvgRT_Z
50.0,629.064046864339,-2.9641657384890006
60.0,646.686281418177,-2.2066331300130853
70.0,663.2137814414923,-1.4961602234133387
80.0,678.6285576838014,-0.8335203283288756
90.0,695.2644314804619,-0.11838872382326754
100.0,701.9655528546183,0.1696745146252767
110.0,702.0725019213447,0.17427196821402668
120.0,700.3012443784926,0.09813035617157481
130.0,698.4049793536329,0.016615007692075766
140.0,697.8322934283827,-0.008003224545545945
150.0,696.4358931534425,-0.06803072784089648
160.0,702.1987353783578,0.17969840602904424
170.0,706.7094881661071,0.3736035725420808
180.0,706.8786604175115,0.38087583398523406
190.0,708.955563950381,0.47015634753196
200.0,706.2145219535914,0.35232630234522067
210.0,697.3885303096422,-0.0270794110449318
220.0,690.4748507828626,-0.32427995448833974
230.0,684.3290025616723,-0.5884734890864494
240.0,673.7090588579055,-1.044996390946799
250.0,665.8520421680049,-1.3827484694221632
260.0,666.9405382123471,-1.3359569433380527
270.0,671.7219346404131,-1.1304175324736434
280.0,675.1964938486246,-0.9810555493347207
290.0,681.834021225572,-0.6957260462953845
300.0,688.2202307121187,-0.42120002544159135
310.0,689.3976050445369,-0.370587860085119
320.0,694.4349173900803,-0.15404731018100382
330.0,701.1716586294567,0.13554713075671748
340.0,708.7192394218015,0.45999738976557947
350.0,714.555397807687,0.7108781887943008
360.0,717.9597284561073,0.8572212344695556
370.0,716.4863796970371,0.793885922183061
380.0,714.7099692957329,0.717522802573427
390.0,712.1701260154659,0.6083417506845443
400.0,706.2255920017263,0.35280217402959607
410.0,699.9424790054577,0.08270799483393387
420.0,698.9017827161244,0.03797125203997718
430.0,701.8985619403144,0.16679475485918174
440.0,705.4443521912596,0.3192187695152553
450.0,709.0718218630882,0.4751539634472383
460.0,713.6070248560711,0.6701101787186948
470.0,725.1366877873116,1.1657394707058726
480.0,736.0725016340762,1.6358407829904893
490.0,747.1609081665435,2.1125016456477725
500.0,759.2896413989193,2.6338833634407126
