Gap,Tone,tGap,Key,RT
490,2,490,C,441
280,1,280,C,389
60,1,60,M,473
140,1,140,M,330
120,1,120,M,463
290,1,290,M,372
350,1,350,M,342
230,1,230,M,332
220,1,220,M,329
400,1,400,M,346
430,1,430,M,319
320,1,320,M,315
370,1,370,M,277
110,2,110,C,428
180,1,180,C,319
70,1,70,M,344
90,1,90,M,330
400,2,400,M,319
150,1,150,M,340
60,2,60,C,461
450,2,450,C,430
70,2,70,C,491
240,1,240,M,413
500,1,500,M,339
270,2,270,C,412
210,1,210,M,326
200,1,200,M,355
430,2,430,C,479
470,2,470,C,442
200,2,200,C,388
460,1,460,M,337
110,1,110,M,395
90,2,90,C,362
410,2,410,C,388
100,2,100,C,410
260,2,260,C,363
460,2,460,C,382
490,1,490,M,461
50,1,50,M,402
170,2,170,C,432
80,1,80,M,375
420,1,420,M,327
310,2,310,M,393
170,1,170,M,406
180,2,180,C,441
300,2,300,C,525
150,2,150,C,367
410,1,410,M,600
190,1,190,M,392
130,2,130,C,422
330,1,330,M,438
50,2,50,C,413
250,1,250,M,293
380,2,380,C,485
320,2,320,C,409
260,1,260,M,303
280,2,280,C,415
480,1,480,M,313
240,2,240,C,380
330,2,330,C,390
340,1,340,M,274
160,1,160,M,536
440,1,440,M,368
390,1,390,C,484
440,2,440,C,454
100,1,100,M,327
420,2,420,C,401
130,1,130,M,344
290,2,290,C,419
270,1,270,M,263
470,1,470,M,365
380,1,380,M,380
370,2,370,C,529
140,2,140,M,369
230,2,230,C,467
360,1,360,M,406
500,2,500,C,423
390,2,390,C,402
210,2,210,C,376
80,2,80,C,358
310,1,310,C,388
160,2,160,C,420
220,2,220,C,411
120,2,120,C,385
350,2,350,C,394
360,2,360,C,416
340,2,340,C,381
480,2,480,C,347
300,1,300,M,469
250,2,250,C,433
450,1,450,M,411
190,2,190,C,414
