Gap,CombinedAvgRT,CombinedAvgRT_Z
50.0,564.6768420817641,1.1706196158251738
60.0,551.8362253242748,0.7761242438910123
70.0,539.3717757575259,0.39318565451825266
80.0,526.8835551662349,0.009516760725921844
90.0,519.4136388249832,-0.21997746692793452
100.0,518.9459793368542,-0.2343451182014134
110.0,515.8895500682842,-0.3282461530089299
120.0,519.8196194207039,-0.2075047431381297
130.0,522.161689343661,-0.1355505868228672
140.0,507.7293181239678,-0.578948576166643
150.0,491.99161007226274,-1.0624497279027958
160.0,481.46376511752516,-1.3858910539327183
170.0,483.68851151618964,-1.3175413652397325
180.0,489.85725758686243,-1.128022292949214
190.0,505.5910267846064,-0.6446421525077456
200.0,519.990568727465,-0.20225275940352863
210.0,524.2592790513373,-0.07110746485114387
220.0,528.6008124600161,0.06227513422240629
230.0,533.2981292881333,0.20658827619978723
240.0,536.4687544583632,0.30399769035928353
250.0,541.2482670284525,0.4508360879698704
260.0,538.1763437770394,0.3564590398492981
270.0,539.3238071328241,0.39171194022552636
280.0,543.5174533377887,0.5205510801697092
290.0,544.1890069197776,0.5411828601771563
300.0,545.9770341031292,0.5961154589803456
310.0,557.0750503704935,0.9370738520086015
320.0,560.4967968293039,1.0421983306396994
330.0,566.4906946169397,1.226345633041633
340.0,583.3661564182977,1.7448013821398674
350.0,591.1821745503426,1.9849287092206942
360.0,590.1298726452306,1.9525994029821896
370.0,576.5307953116984,1.5348022541400819
380.0,544.3221184765418,0.5452723750412931
390.0,511.1717172783151,-0.47318959586314485
400.0,481.92955874813146,-1.3715807263977562
410.0,459.43126683454784,-2.062783665007061
420.0,453.5724504843371,-2.2427809329593407
430.0,462.5753866488692,-1.9661885606610927
440.0,484.7903594125229,-1.2836898841241284
450.0,514.5847097868029,-0.3683340601460527
460.0,537.3455817197852,0.33093598336728436
470.0,534.1350193129906,0.23229959893913463
480.0,532.0787803139139,0.16912687257821502
490.0,527.7042967975386,0.03473196504343679
500.0,519.1117148175535,-0.22925331604455437
