Gap,Tone,tGap,Key,RT
140,1,140,C,384
490,2,490,C,405
450,2,450,C,556
310,2,310,C,398
240,2,240,C,414
360,1,360,M,317
90,1,90,M,363
310,1,310,C,388
100,1,100,M,401
190,2,190,C,621
340,1,340,M,391
410,1,410,M,454
110,1,110,M,521
480,2,480,C,462
160,1,160,M,324
250,2,250,C,390
150,1,150,M,349
80,2,80,C,390
460,1,460,M,356
330,2,330,C,380
420,1,420,M,313
430,2,430,C,349
400,2,400,C,420
60,1,60,M,399
330,1,330,M,405
170,2,170,C,562
170,1,170,M,379
490,1,490,M,355
320,1,320,M,406
70,2,70,C,484
130,1,130,M,440
500,2,500,C,567
200,1,200,M,383
260,2,260,C,420
100,2,100,C,442
480,1,480,M,349
220,1,220,M,362
420,2,420,C,377
90,2,90,C,488
350,1,350,M,348
280,2,280,C,410
50,1,50,M,422
70,1,70,M,481
290,1,290,M,472
300,1,300,M,411
210,1,210,M,428
140,2,140,C,583
50,2,50,C,703
300,2,300,C,406
440,1,440,M,375
210,2,210,C,430
400,1,400,M,372
370,2,370,C,439
270,2,270,C,442
370,1,370,M,367
280,1,280,M,401
380,2,380,C,446
390,1,390,M,386
360,2,360,C,377
390,2,390,C,403
110,2,110,C,440
440,2,440,C,410
350,2,350,C,395
270,1,270,M,359
180,2,180,C,384
260,1,260,C,405
220,2,220,C,572
470,1,470,M,351
250,1,250,M,425
320,2,320,C,437
80,1,80,M,405
470,2,470,C,434
500,1,500,M,327
380,1,380,M,362
240,1,240,M,479
340,2,340,C,388
150,2,150,C,419
200,2,200,C,425
160,2,160,C,406
180,1,180,M,354
230,1,230,M,392
460,2,460,C,367
450,1,450,M,378
230,2,230,M,392
290,2,290,C,491
430,1,430,M,350
410,2,410,C,379
120,1,120,M,417
60,2,60,C,475
120,2,120,C,399
190,1,190,M,372
130,2,130,C,397
