Gap,CombinedAvgRT,CombinedAvgRT_Z
50.0,565.3219428159597,0.6599662980504022
60.0,559.3472820766837,0.4751270575198073
70.0,552.9777017322091,0.27807011240631
80.0,546.5425425433957,0.07898434183954912
90.0,540.3783812960415,-0.11171751274092222
100.0,537.7809913957349,-0.19207346891738902
110.0,538.3591758146586,-0.17418606517278296
120.0,541.3569650986869,-0.0814428754401881
130.0,551.2233032129858,0.2237939444308667
140.0,558.4139626691917,0.4462527736095588
150.0,563.779223708861,0.6122388971900283
160.0,570.1553974084256,0.8094998222114377
170.0,569.6276865911747,0.7931739300918678
180.0,559.9706845485239,0.49441338095610754
190.0,547.5314555874188,0.10957853688838404
200.0,533.832841737887,-0.31421814224760497
210.0,519.9500371749886,-0.7437131652824622
220.0,512.328927501751,-0.9794889164880944
230.0,510.6673393376334,-1.030893792468941
240.0,515.4184016242099,-0.8839092550890394
250.0,524.0272475493906,-0.6175757154798718
260.0,532.2480352830535,-0.36324760756497815
270.0,535.7596980332875,-0.25460661453154204
280.0,533.3513740070324,-0.32911340301548697
290.0,527.1280708466556,-0.5216449424540053
300.0,518.216549549746,-0.7973424088665665
310.0,508.19078926462697,-1.1075113034216992
320.0,501.0707116825779,-1.327786527441254
330.0,499.9027430725121,-1.3639201993381274
340.0,502.1515735567907,-1.2943476935615947
350.0,505.1009599804582,-1.2031019525276023
360.0,507.63993015135964,-1.1245533388742477
370.0,513.4889809599119,-0.9436001171840946
380.0,518.5323137746011,-0.7875735496700486
390.0,520.3978292624772,-0.7298597344386142
400.0,528.4274257168172,-0.4814465482922151
410.0,544.2208952488921,0.007159088252355379
420.0,567.0733580510633,0.7141501715852029
430.0,594.4886001324758,1.5623008443051924
440.0,613.3184392118512,2.1448432356856975
450.0,621.3786376537689,2.3942031614696138
460.0,625.0110597076426,2.506580108550622
470.0,607.7581587590247,1.9728237586162587
480.0,585.3254481358631,1.2788186300287847
490.0,560.2747797078686,0.5038212320049208
500.0,534.0685989619888,-0.3069244751836138
