Gap,InAveRT,InAveRT_Z
50.0,511.84412030655903,-0.31238623135757565
60.0,509.19607087072234,-0.36537026004577755
70.0,506.4177210714887,-0.4209614297106075
80.0,503.69713769825756,-0.4753967682451306
90.0,501.991532520062,-0.5095237118245305
100.0,505.6532661459667,-0.4362571795393475
110.0,510.0741187150496,-0.3478016634992591
120.0,516.7079247617451,-0.21506782358927254
130.0,527.574076686514,0.0023497583942014896
140.0,527.970687767347,0.010285430818035053
150.0,526.105694209975,-0.027030667140645677
160.0,525.5726400423634,-0.0376963884549356
170.0,522.0699469560723,-0.10778072617855466
180.0,520.4684002758361,-0.13982559441354567
190.0,524.5825014891421,-0.05750777445067927
200.0,523.9187631162765,-0.07078831691844512
210.0,517.2499312434326,-0.20422297810176807
220.0,510.51364508754085,-0.33900731184776195
230.0,504.5182988741114,-0.45896640002380257
240.0,500.7931121814561,-0.5335025457321975
250.0,501.3692718338434,-0.5219743396730726
260.0,503.9815276255345,-0.4697064952987283
270.0,503.4124842963907,-0.4810923129757536
280.0,500.40503031718987,-0.541267559614257
290.0,497.78309025799325,-0.593729173598939
300.0,495.8961520531762,-0.6314843554410413
310.0,489.84466623916137,-0.7525667240844722
320.0,484.1642097683718,-0.8662252776360978
330.0,484.26706104287746,-0.8641673572644925
340.0,486.3330142347665,-0.822830318119321
350.0,491.8002296865169,-0.7134384403016788
360.0,503.9010552061155,-0.4713166438561551
370.0,510.48131521159235,-0.33965419066035496
380.0,510.7254185322585,-0.3347700003691812
390.0,506.9846561232563,-0.4096177959246658
400.0,512.9214956909229,-0.2908293497145926
410.0,542.3370665434418,0.2977380043677685
420.0,587.6804215314806,1.2049996245597159
430.0,643.6763102632731,2.3254046044800445
440.0,669.0242031733261,2.832583007932835
450.0,669.7246009225405,2.846597056891027
460.0,663.3587518553031,2.719224687992371
470.0,629.4738800361459,2.0412324283822354
480.0,582.5787640727972,1.1029220872259555
490.0,527.3582336275676,-0.0019689807775802753
500.0,466.60293321621396,-1.2176036046600345
