Gap,OutAveRT,OutAveRT_Z
50.0,618.570556854181,1.884772792168671
60.0,608.4680707145354,1.5744858559583192
70.0,597.9247070593623,1.2506578436557907
80.0,587.4725680126687,0.9296316965457361
90.0,576.6409932261614,0.5969515910369178
100.0,568.1195063272228,0.33522333669643745
110.0,565.5605398341913,0.25662744831687295
120.0,566.0895419580146,0.27287517644844045
130.0,573.3758018401945,0.4966647688341954
140.0,584.1153459255968,0.8265182508873168
150.0,595.451643080545,1.1747003580990392
160.0,606.89874167857,1.5262856118060668
170.0,605.7631309089908,1.4914065551511493
180.0,592.5435659923744,1.0853819153435587
190.0,573.965976265913,0.5147913380622645
200.0,556.129840257022,-0.03302629014624209
210.0,539.4193484411311,-0.5462709743208729
220.0,530.5223854500417,-0.8195315707644006
230.0,528.5832392643656,-0.8790903487226495
240.0,533.6805915859351,-0.7225306848159972
250.0,546.350145961566,-0.3333990239530688
260.0,559.7869191988601,0.07929693451914291
270.0,568.410184088737,0.3441511897811125
280.0,569.0415872616295,0.36354405539084383
290.0,560.172772246456,0.09114799358628857
300.0,545.2681652547334,-0.36663089123020437
310.0,530.7604716616991,-0.8122190102572229
320.0,520.03063332807,-1.14177439064114
330.0,517.615346619399,-1.2159573098299226
340.0,516.6632924223456,-1.245198624871238
350.0,514.1012550868146,-1.3238888308571435
360.0,508.69274671850013,-1.4900053162326166
370.0,508.4332856512791,-1.4979743823120981
380.0,506.263993523801,-1.5646018439761076
390.0,504.0838729815771,-1.631561888688393
400.0,513.9065625759832,-1.32986860077258
410.0,522.8293580776523,-1.0558145867037676
420.0,533.3759671783826,-0.7318868940508146
430.0,545.7838806692979,-0.3507912500042983
440.0,554.2567906885159,-0.09055498198983856
450.0,556.3775455199839,-0.025418290880992768
460.0,559.022324902207,0.055813247585745546
470.0,570.3787393861463,0.40461323680107886
480.0,583.1514666318208,0.7969137407886915
490.0,596.4510771386152,1.2053968943314348
500.0,610.9313935954125,1.650144154226573
