Gap,InAveRT,InAveRT_Z
50.0,771.5498676562485,2.9651564590862876
60.0,743.0514383246978,2.2890949789733246
70.0,713.8160330044645,1.5955503922680694
80.0,685.6573425846642,0.9275484577833154
90.0,661.8902783421693,0.36372802954897515
100.0,643.872288349885,-0.0637084737448507
110.0,626.9787212045223,-0.46447056051842905
120.0,633.7547722730552,-0.3037239080830374
130.0,660.7945267598988,0.33773377464013415
140.0,679.9384907405988,0.7918814918159942
150.0,692.0053041572351,1.0781396446351887
160.0,711.4542889339667,1.5395232978140927
170.0,721.0436216265084,1.7670087629950817
180.0,707.5871666669796,1.4477844734325427
190.0,688.9551992969352,1.005782730421986
200.0,676.529554057222,0.7110120953674102
210.0,661.469859051952,0.3537545224372104
220.0,648.3063389079382,0.04147945602833099
230.0,641.0449026905616,-0.13078187317518936
240.0,631.3961991350487,-0.35967577925756605
250.0,619.8126946171623,-0.6344685096971912
260.0,612.5465537016139,-0.806841447339635
270.0,619.0333614478479,-0.6529564456398385
280.0,641.2881526455106,-0.1250113121850712
290.0,657.9321618889409,0.2698305716681462
300.0,660.4793089651865,0.33025593765579336
310.0,653.396066452257,0.1622218554410011
320.0,637.3824030205984,-0.21766648421749887
330.0,612.300320206849,-0.8126827861372022
340.0,593.7511251563005,-1.252720941043317
350.0,597.1425569918304,-1.1722668079486158
360.0,610.062908100322,-0.8657603828974799
370.0,607.1606966571342,-0.9346088566521422
380.0,605.0423867685898,-0.9848610197424678
390.0,604.5075204132112,-0.9975495274378582
400.0,591.7073855318839,-1.3012040914434315
410.0,589.3310450823659,-1.3575774523351083
420.0,605.5145156710905,-0.9736608177623767
430.0,617.1767481347373,-0.6970004429372402
440.0,616.6210101312572,-0.7101840837904508
450.0,615.8090611720163,-0.7294457563821003
460.0,616.6394059458557,-0.7097476842436309
470.0,626.2553592558692,-0.4816307044679221
480.0,632.8814969709855,-0.32444041096096005
490.0,642.3931123206859,-0.09879861587211787
500.0,654.3966408215736,0.18595824389993915
