Gap,OutAveRT,OutAveRT_Z
50.0,728.0204507187501,1.565688203204951
60.0,703.5914547911648,1.015871878628473
70.0,680.7781616473009,0.5024197078955254
80.0,661.0901908622213,0.05930826084672847
90.0,640.6529846750043,-0.40066601004742597
100.0,632.2816318472102,-0.5890776196426148
110.0,641.2432793078567,-0.3873804199882107
120.0,656.9282442729995,-0.034363463670840415
130.0,667.1409447812265,0.19549082399937515
140.0,669.1386378103389,0.24045232148189524
150.0,673.9176532253323,0.34801223505161066
160.0,686.2706928279345,0.6260385138140936
170.0,709.4940153754676,1.1487190973873385
180.0,734.652042673298,1.7149435195244884
190.0,745.9017214262576,1.968136775725164
200.0,738.3265347926294,1.797644247697059
210.0,717.1250809253675,1.3204692759736936
220.0,682.0981432723837,0.5321281514092443
230.0,649.6718665694453,-0.1976806515951163
240.0,644.5008476170299,-0.3140632750627443
250.0,659.7255979497976,0.028595764030405323
260.0,666.8940820475285,0.18993475606604435
270.0,675.8958384392238,0.3925346757961027
280.0,692.7322659742592,0.771467266138812
290.0,699.0150630090162,0.9128723563827942
300.0,690.9195237462181,0.7306684026824275
310.0,691.4491370131867,0.7425882548431455
320.0,697.6020010517223,0.8810689808342763
330.0,686.9665769250349,0.6417005753140081
340.0,671.2782984995202,0.2886090439052698
350.0,653.5085225510909,-0.11133014841660833
360.0,622.6924376034076,-0.8048988326964004
370.0,586.3358718352599,-1.6231655115284107
380.0,564.8755023429694,-2.106167822113782
390.0,563.1947010435404,-2.1439971293654945
400.0,580.7105450227529,-1.7497731102100103
410.0,598.1579901818454,-1.357088523456708
420.0,612.2604435923373,-1.039688695618836
430.0,623.3957066247277,-0.7890705608494147
440.0,629.3434424526729,-0.6552065959870699
450.0,631.4546143916392,-0.6076910616002993
460.0,627.8765887377879,-0.6882206470188903
470.0,622.0735907497046,-0.8188270393074002
480.0,625.6606751276703,-0.7380935718130723
490.0,626.5052070810838,-0.7190859361333406
500.0,625.5836807244629,-0.7398264625102569
