Gap,Tone,tGap,Key,RT
190,2,190,M,398
100,1,100,M,517
60,2,60,C,591
230,1,230,M,401
240,1,240,M,474
130,1,130,M,430
110,1,110,M,496
430,1,430,M,683
400,2,400,M,621
460,2,460,C,2
350,2,350,C,4
170,2,170,C,1392
250,2,250,M,943
150,2,150,C,716
340,2,340,C,3074
270,2,270,C,671
400,1,400,M,472
440,2,440,C,509
80,1,80,M,482
210,1,210,M,592
70,1,70,M,458
120,2,120,C,529
420,1,420,M,475
480,1,480,M,512
500,2,500,C,480
420,2,420,C,633
340,1,340,M,498
240,2,240,C,469
290,2,290,C,453
450,1,450,M,453
140,1,140,M,555
390,1,390,M,1
250,1,250,M,515
200,1,200,M,520
460,1,460,M,455
490,2,490,C,706
280,1,280,M,519
470,1,470,M,3
120,1,120,M,621
260,1,260,M,506
170,1,170,M,490
390,2,390,C,498
50,2,50,C,584
280,2,280,C,701
320,2,320,C,472
440,1,440,M,662
160,2,160,C,619
220,1,220,M,530
200,2,200,C,479
60,1,60,M,538
300,2,300,C,429
330,2,330,C,493
290,1,290,M,419
160,1,160,M,474
190,1,190,M,441
180,1,180,M,450
230,2,230,C,561
90,1,90,M,506
270,1,270,M,420
380,2,380,C,495
430,2,430,C,436
220,2,220,C,499
370,2,370,C,540
310,1,310,M,481
300,1,300,M,519
80,2,80,C,523
140,2,140,C,555
310,2,310,C,457
110,2,110,C,482
360,2,360,C,479
410,1,410,M,505
180,2,180,C,902
150,1,150,M,458
450,2,450,C,435
380,1,380,M,433
490,1,490,M,439
260,2,260,C,456
350,1,350,M,437
500,1,500,M,410
370,1,370,M,474
410,2,410,C,408
50,1,50,M,433
100,2,100,C,523
320,1,320,M,358
210,2,210,C,391
130,2,130,C,478
70,2,70,M,461
470,2,470,C,593
330,1,330,M,416
360,1,360,M,458
480,2,480,C,585
90,2,90,C,492
