Gap,Tone,tGap,Key,RT
290,1,290,M,725
130,2,130,C,444
250,2,250,C,438
500,2,500,C,609
210,1,210,M,636
100,1,100,M,540
460,2,460,M,500
290,2,290,C,794
270,1,270,M,669
200,2,200,C,942
250,1,250,M,602
350,1,350,M,570
260,2,260,C,591
350,2,350,C,612
260,1,260,M,488
440,1,440,M,685
60,2,60,C,606
190,2,190,C,701
70,2,70,C,675
140,1,140,M,650
370,1,370,M,597
330,1,330,M,500
460,1,460,M,481
140,2,140,C,1475
220,2,220,C,596
430,2,430,C,638
420,1,420,M,502
380,2,380,C,1081
440,2,440,C,476
320,2,320,C,593
370,2,370,C,513
310,1,310,M,524
170,1,170,M,1052
190,1,190,M,641
50,2,50,C,780
130,1,130,M,625
180,2,180,C,898
280,1,280,M,1118
490,1,490,M,922
390,1,390,M,556
80,1,80,M,790
50,1,50,M,718
70,1,70,M,836
90,2,90,C,595
470,2,470,C,794
380,1,380,M,704
100,2,100,C,503
300,2,300,C,662
450,1,450,M,623
160,1,160,M,754
360,1,360,M,522
420,2,420,C,1670
480,2,480,C,601
490,2,490,C,542
110,1,110,M,673
360,2,360,C,635
410,2,410,C,796
270,2,270,C,636
400,1,400,M,603
390,2,390,C,681
170,2,170,C,595
230,1,230,M,700
430,1,430,M,620
240,1,240,M,780
160,2,160,C,646
410,1,410,M,735
220,1,220,M,614
180,1,180,M,644
280,2,280,C,659
330,2,330,C,553
80,2,80,C,704
480,1,480,M,650
240,2,240,M,1115
340,1,340,M,567
210,2,210,M,753
120,1,120,M,702
450,2,450,C,1038
320,1,320,C,790
500,1,500,M,688
470,1,470,M,572
300,1,300,M,825
90,1,90,M,678
110,2,110,C,1289
150,1,150,M,802
60,1,60,M,533
200,1,200,M,543
150,2,150,C,624
340,2,340,C,708
400,2,400,C,1208
230,2,230,C,668
120,2,120,C,647
310,2,310,C,1202
