Gap,InAveRT,InAveRT_Z
50.0,694.171565374932,2.8376501491327115
60.0,676.696152028239,2.3535484122599963
70.0,656.8829217019492,1.8046847588671482
80.0,640.7848929584419,1.3587391597358125
90.0,622.969019876152,0.865206049420426
100.0,606.7130998506109,0.4148865655429485
110.0,595.6990816144012,0.10977759602573377
120.0,592.6616986795899,0.02563639002857028
130.0,584.6975043342597,-0.1949867356668104
140.0,560.7028730232977,-0.8596830414314641
150.0,536.5431309020042,-1.5289532264212986
160.0,530.3649808133131,-1.7000995752521082
170.0,531.1081709656146,-1.6795118136685494
180.0,530.3370101085288,-1.700874416252946
190.0,544.0341523791164,-1.3214378769370425
200.0,560.6778920456813,-0.8603750613804593
210.0,564.3710515980658,-0.7580676127159779
220.0,569.3600415672565,-0.6198632302838558
230.0,583.4926661782919,-0.22836301309059698
240.0,580.6433230216271,-0.3072951644350356
250.0,580.531716980709,-0.3103868611624361
260.0,595.5658280080281,0.10608622112031833
270.0,595.4462439185917,0.10277351748063707
290.0,607.2538719394901,0.4298669669952688
300.0,624.3425205313144,0.9032545945145428
320.0,624.2643106111999,0.9010880329908182
330.0,638.8139999065017,1.304141724430218
340.0,624.2944192104788,0.9019220976802523
350.0,600.4163536006322,0.24045488053572167
360.0,574.2077479657032,-0.4855726678359516
370.0,562.4230501244087,-0.8120309083542158
380.0,570.5829393545936,-0.5859866671878708
390.0,583.391433447969,-0.23116734965222338
400.0,587.3199328736697,-0.12234054495492228
410.0,586.5019805958643,-0.14499935768277733
420.0,584.8220789440603,-0.19153578524988624
430.0,574.6976145023417,-0.4720024456891095
440.0,578.3858691872301,-0.369830871056725
450.0,597.2078304204084,0.15157276864927344
460.0,611.420390106461,0.5452873373937779
470.0,620.5427198718761,0.7979929871058521
480.0,605.1972794829821,0.37289549739491074
490.0,584.2014589661744,-0.20872812303738253
500.0,561.6526167643738,-0.8333733579053847
