Gap,OutAveRT,OutAveRT_Z
50.0,627.4727573047012,0.09518811472929126
60.0,649.0742026728022,0.43765738793532033
70.0,669.079293434383,0.7548180582882539
90.0,699.5466842735849,1.237848013894542
100.0,701.1486504117765,1.2632455819599326
120.0,728.6090056523707,1.6986020009851641
130.0,730.8446810254186,1.7340463940378148
140.0,730.8132958623163,1.7335488137225195
170.0,744.2779220274504,1.9470169709771146
180.0,726.7623549270133,1.6693252039467394
190.0,711.0379439915749,1.4200304233018863
210.0,674.9046867723313,0.8471738330334221
220.0,657.9599536525282,0.5785320668311246
230.0,624.3011261512798,0.044905080539653947
240.0,590.1269027967853,-0.4968929906152066
250.0,580.1751147843995,-0.6546686185708764
260.0,566.1523110431725,-0.876986122040366
270.0,561.9984023220591,-0.9428421828938054
280.0,583.0542873059136,-0.6090222229674708
300.0,624.1153452458266,0.041959710422888805
310.0,641.2544648819973,0.31368328008079
320.0,632.301988866309,0.17175074259352235
330.0,617.0082028177662,-0.07071691192497612
340.0,611.7833693687503,-0.15355141134923084
350.0,614.6593135746674,-0.10795619745507348
360.0,628.9234423254096,0.11818727224985859
370.0,628.2678544483523,0.10779358331133738
380.0,612.3063602857039,-0.14525991436047125
390.0,597.1438743097071,-0.385645937782047
400.0,576.1084432202658,-0.7191416217058013
410.0,562.5738531872792,-0.9337189859864019
420.0,568.146709612861,-0.8453669309628579
430.0,578.7010475008439,-0.6780384784415295
440.0,572.5178122222756,-0.776067478623165
450.0,557.9018900514412,-1.0077882805317802
460.0,544.1164440698192,-1.2263427145382533
470.0,535.3878671965589,-1.3647255554532727
480.0,532.6775172946648,-1.4076954375708093
490.0,531.6719899238122,-1.4236370665690778
500.0,533.8411332474982,-1.3892474724987
