Gap,CombinedAvgRT,CombinedAvgRT_Z
50.0,663.7033820718459,1.5237801369591857
60.0,665.1396645585185,1.5687205052194941
70.0,666.4976842977167,1.6112120817377902
80.0,669.6974275835108,1.7113300201909538
90.0,665.8995916499289,1.5924981420394544
100.0,651.6569823129769,1.146855927134236
110.0,647.3201768162403,1.0111600331125847
120.0,655.2169083882491,1.2582437566780216
130.0,659.2833006246947,1.3854785912543954
140.0,656.8727363369748,1.3100535632320498
150.0,654.6020010292524,1.239003695328179
160.0,651.5042979456235,1.1420785300970082
170.0,640.4103047354931,0.7949545172604668
180.0,629.4752911691493,0.4528048766689093
190.0,629.3071914770031,0.4475451438937826
200.0,626.1138730955194,0.34762823662245496
210.0,615.6811984385878,0.02119646197297289
220.0,611.2268372938507,-0.1181776737324986
230.0,608.9613998382114,-0.1890617752040637
240.0,598.7473292892037,-0.508653565933618
250.0,597.5541957369816,-0.5459859582158719
260.0,599.5224972013065,-0.48439905349840756
270.0,595.8058513915852,-0.6006905441570181
280.0,592.4904226895986,-0.7044282059266423
290.0,600.1543372323426,-0.4646291795774676
300.0,616.0713558387586,0.03340423962525081
310.0,626.3603956712138,0.35534177169580694
320.0,620.9395439084169,0.18572675740358258
330.0,614.8872817402843,-0.003644688093840239
340.0,613.6186248292203,-0.04334015838484559
350.0,608.2533317245345,-0.21121677749455298
360.0,605.2896445974696,-0.3039486684244435
370.0,602.8301140481113,-0.38090581972391524
380.0,598.7349670318564,-0.5090403731270983
390.0,593.5678347863798,-0.6707166646060846
400.0,582.8007382071438,-1.0076122891473085
410.0,572.8384837370344,-1.3193249144448778
420.0,572.5404399874136,-1.3286505143807728
430.0,577.3591401441378,-1.1778764420178334
440.0,582.6563891710616,-1.0121288789545009
450.0,587.5741957961407,-0.8582538280402146
460.0,589.6395288518491,-0.7936308663561538
470.0,582.2607085669073,-1.024509474157157
480.0,574.2229405827956,-1.276006137626013
490.0,563.3203285241649,-1.6171419555870423
500.0,551.5623201672352,-1.9850425813144905
