Gap,InAveRT,InAveRT_Z
50.0,492.91923626998357,1.9387742050380994
60.0,488.9393761435471,1.7977543683113284
70.0,483.6827803830819,1.6114954917856381
80.0,478.9471553202535,1.4436963601721302
90.0,469.91467480755585,1.123645180816015
100.0,450.88362526008916,0.44931105482604833
110.0,433.8891411165249,-0.15286070574961752
120.0,428.7433159925799,-0.33519460587414285
130.0,428.2899327274456,-0.35125950061734934
140.0,426.0268067150372,-0.43144967077986296
150.0,431.4550979493624,-0.23910704585064751
160.0,447.17721603721316,0.3179805037896793
170.0,465.1160941655512,0.9536153211833225
180.0,481.5458853761641,1.5357781109218993
190.0,494.87829092189963,2.0081901036816006
200.0,498.0899936438891,2.121991538677111
210.0,486.8609536616578,1.724108865772594
220.0,463.63008776621007,0.900961113961809
230.0,434.8479066220135,-0.11888841759176098
240.0,415.2141842998674,-0.8145772680154888
250.0,409.9046436366769,-1.0027121606072298
260.0,410.02959724758654,-0.9982846336969622
270.0,413.1997188746291,-0.8859565568180799
280.0,416.6542289822365,-0.7635516390899877
290.0,412.8107115513192,-0.8997403953138834
300.0,404.46374224016347,-1.1955016060166588
310.0,404.35922337515547,-1.199205061115593
320.0,408.31970008024575,-1.0588720442333903
330.0,419.15986161032833,-0.6747686434857761
340.0,435.9628223511596,-0.07938320155567094
350.0,444.08572394373715,0.20843853587774464
360.0,443.60007467218344,0.19123034795022018
370.0,443.07323281283306,0.17256256802174738
380.0,439.4604532606763,0.0445496312879264
390.0,429.83673381197997,-0.29645113312199695
400.0,420.43512046964423,-0.6295819307843624
410.0,416.31073513527076,-0.7757227819635761
420.0,410.55767263550075,-0.9795731457005818
430.0,400.9916779850209,-1.3185285262625916
440.0,403.1216991035565,-1.2430547103952425
450.0,419.50398741766344,-0.6625751081297191
460.0,432.4950869033324,-0.20225673759174745
470.0,433.1606980705627,-0.17867189411877255
480.0,431.7374585874617,-0.22910205828379143
490.0,429.15329115816047,-0.320667806168754
500.0,423.906357747077,-0.5065843131415144
