Gap,OutAveRT,OutAveRT_Z
50.0,598.6326135894776,3.2660456647693095
60.0,573.3331819018302,2.411981125413525
70.0,549.3542955440054,1.6024958854166245
80.0,526.3804211461713,0.8269380904016493
90.0,506.02891669395103,0.1399069155603041
100.0,495.2688631107443,-0.22333366313901912
110.0,484.02619935023245,-0.6028663168484599
120.0,481.0034922607909,-0.7049076184011681
130.0,480.6200175953001,-0.7178530520212011
140.0,477.44025259138414,-0.8251963539126469
150.0,484.33315150685235,-0.592504149212266
160.0,500.6661461446592,-0.041130833247626425
170.0,512.3412312254051,0.35299960748853315
180.0,512.9127033005516,0.3722915046600024
190.0,511.59482884462125,0.3278023693296441
200.0,504.17812297532714,0.07742735853883631
210.0,494.5237894482403,-0.24848604609406055
220.0,496.4951502847827,-0.1819363541660909
230.0,494.80722065746494,-0.2389179044798873
240.0,492.57532023207153,-0.3142629569789246
250.0,487.1074511909741,-0.49884864694613346
260.0,471.9698603945876,-1.0098672212006925
270.0,469.6833155364774,-1.087056974119599
280.0,479.0589727559349,-0.7705511939441724
290.0,490.3298357924389,-0.39006658202643024
300.0,504.99353125989666,0.10495411524807025
310.0,513.7792037236136,0.401543042552665
320.0,508.42898171579833,0.22092891054483088
330.0,502.116234325697,0.007821606066179152
340.0,497.39148056700645,-0.15167781243086945
350.0,486.16758131312497,-0.5305770092346628
360.0,478.8558242372463,-0.7774091324218708
370.0,475.88077517586237,-0.8778415823496816
380.0,473.05702780781513,-0.9731663518908836
390.0,477.15827658418544,-0.8347153704530508
400.0,488.6937706359296,-0.44529727856940626
410.0,497.30918142423724,-0.15445608746591244
420.0,498.21313088150646,-0.1239403357148366
430.0,490.8754599605885,-0.3716472649609178
440.0,479.6163164081252,-0.7517362476067339
450.0,474.85770162449217,-0.9123787550484938
460.0,480.1142592070026,-0.7349265701246749
470.0,506.1734228311763,0.14478518986492614
480.0,531.9266518688515,1.0141691336048675
490.0,559.0089213640497,1.9284191573482474
500.0,587.4057378849936,2.887045988202013
