Gap,Tone,tGap,Key,RT
400,1,400,M,322
280,1,280,M,479
120,1,120,M,471
300,1,300,M,454
460,2,460,M,398
120,2,120,C,558
500,2,500,M,290
90,1,90,M,462
340,2,340,C,295
160,2,160,C,478
130,2,130,C,461
250,1,250,M,435
420,1,420,M,500
70,2,70,C,493
50,2,50,C,1050
100,1,100,M,493
330,2,330,M,468
480,1,480,M,443
260,2,260,C,422
90,2,90,C,436
320,2,320,C,412
240,1,240,M,325
380,2,380,C,466
210,2,210,C,446
70,1,70,M,426
290,1,290,C,262
190,1,190,C,442
110,2,110,C,451
390,2,390,M,263
440,2,440,C,354
280,2,280,M,262
480,2,480,C,373
310,2,310,C,341
380,1,380,C,279
470,2,470,M,387
340,1,340,M,463
450,2,450,C,515
150,1,150,M,368
100,2,100,C,341
300,2,300,C,470
330,1,330,M,319
310,1,310,C,280
170,1,170,M,500
200,1,200,M,383
230,1,230,M,423
50,1,50,M,428
160,1,160,M,382
430,1,430,M,309
360,2,360,M,376
500,1,500,M,419
80,1,80,M,542
210,1,210,M,421
270,1,270,M,476
410,1,410,M,358
470,1,470,M,408
400,2,400,M,418
250,2,250,C,490
140,2,140,C,483
350,2,350,C,573
80,2,80,C,482
260,1,260,M,477
180,2,180,M,462
150,2,150,C,446
410,2,410,C,400
60,1,60,M,488
130,1,130,M,464
200,2,200,M,440
420,2,420,C,417
320,1,320,M,516
370,1,370,M,595
220,2,220,C,537
190,2,190,C,578
440,1,440,M,525
430,2,430,C,490
350,1,350,M,452
110,1,110,C,481
270,2,270,C,511
450,1,450,M,377
140,1,140,C,377
60,2,60,C,383
390,1,390,M,361
460,1,460,C,321
370,2,370,M,392
230,2,230,M,393
360,1,360,M,426
180,1,180,M,572
220,1,220,C,361
290,2,290,C,576
170,2,170,C,561
490,1,490,M,546
240,2,240,C,407
490,2,490,C,419
