Gap,Tone,tGap,Key,RT
50,1,50,M,555
130,2,130,C,430
120,1,120,C,499
130,1,130,M,539
260,1,260,M,531
440,2,440,C,528
330,1,330,M,443
110,2,110,C,463
190,1,190,M,411
480,1,480,M,534
390,2,390,C,553
180,1,180,M,472
270,1,270,M,478
140,2,140,C,425
280,1,280,M,449
450,1,450,M,482
270,2,270,C,465
140,1,140,M,527
170,2,170,C,458
160,1,160,M,891
100,2,100,C,590
500,2,500,C,507
320,1,320,M,513
460,1,460,M,708
310,2,310,C,571
350,2,350,C,559
400,1,400,M,558
60,1,60,M,597
300,1,300,M,884
50,2,50,C,745
240,2,240,C,639
420,1,420,M,635
150,2,150,C,485
500,1,500,M,520
460,2,460,C,481
330,2,330,C,583
200,2,200,C,490
360,2,360,C,514
190,2,190,C,544
360,1,360,M,513
150,1,150,M,411
470,1,470,M,504
220,2,220,C,478
350,1,350,M,666
430,1,430,C,513
210,1,210,C,638
340,1,340,M,665
400,2,400,C,478
180,2,180,C,625
230,1,230,M,573
90,1,90,M,731
490,1,490,M,637
310,1,310,M,634
300,2,300,C,458
120,2,120,C,446
90,2,90,C,449
420,2,420,C,480
470,2,470,C,444
210,2,210,C,504
340,2,340,C,447
280,2,280,C,431
430,2,430,C,438
290,1,290,M,427
70,2,70,C,536
160,2,160,C,430
480,2,480,C,500
250,2,250,C,489
450,2,450,C,480
60,2,60,C,613
290,2,290,C,615
410,2,410,C,603
80,1,80,M,410
320,2,320,C,615
380,2,380,C,457
70,1,70,M,673
370,1,370,M,553
440,1,440,C,632
220,1,220,M,596
110,1,110,C,550
410,1,410,M,1192
370,2,370,C,392
250,1,250,M,523
380,1,380,C,390
80,2,80,M,334
100,1,100,M,383
390,1,390,M,498
200,1,200,M,519
240,1,240,M,485
230,2,230,C,477
260,2,260,C,391
170,1,170,M,514
490,2,490,C,626
