Gap,Tone,tGap,Key,RT
420,2,420,M,287
220,1,220,M,501
50,1,50,M,432
230,2,230,M,376
110,1,110,M,474
180,1,180,M,396
100,1,100,M,521
240,1,240,M,417
360,1,360,M,378
190,2,190,C,422
250,1,250,M,352
340,1,340,M,351
370,1,370,M,406
370,2,370,C,436
50,2,50,C,476
400,1,400,M,422
90,1,90,M,362
250,2,250,C,399
380,1,380,M,389
300,1,300,M,374
320,1,320,M,310
100,2,100,M,340
420,1,420,C,409
170,1,170,M,480
430,2,430,C,419
410,1,410,M,357
330,1,330,M,332
180,2,180,C,567
470,1,470,M,548
390,2,390,C,478
240,2,240,C,517
440,2,440,C,416
400,2,400,C,387
220,2,220,C,456
460,2,460,C,601
480,1,480,M,414
450,2,450,C,461
120,2,120,C,410
470,2,470,C,336
480,2,480,C,426
210,2,210,C,438
260,2,260,C,879
260,1,260,M,383
110,2,110,C,402
490,2,490,M,363
130,1,130,M,373
120,1,120,M,503
440,1,440,M,371
70,2,70,C,393
450,1,450,M,305
270,2,270,M,328
290,2,290,C,432
300,2,300,C,320
190,1,190,M,397
140,1,140,M,408
350,1,350,M,342
200,1,200,M,391
90,2,90,M,360
170,2,170,C,730
410,2,410,C,471
490,1,490,M,427
230,1,230,M,315
290,1,290,M,374
80,2,80,C,394
80,1,80,C,373
350,2,350,C,380
60,2,60,C,461
320,2,320,C,385
460,1,460,M,475
330,2,330,M,381
280,1,280,M,397
340,2,340,C,496
160,2,160,C,508
270,1,270,M,384
310,1,310,M,428
130,2,130,M,406
360,2,360,C,359
150,2,150,C,444
390,1,390,M,424
140,2,140,C,431
210,1,210,M,421
200,2,200,C,479
150,1,150,M,510
500,2,500,C,442
60,1,60,M,623
380,2,380,C,703
70,1,70,M,550
280,2,280,C,1111
160,1,160,M,456
430,1,430,M,428
310,2,310,C,457
500,1,500,M,209
