Gap,InAveRT,InAveRT_Z
50.0,720.3066887244552,-1.2861133723019138
60.0,732.7902624514027,-0.8836698096808049
70.0,745.5425288048017,-0.47256417478741436
80.0,757.3435745463034,-0.09212384618081378
90.0,773.8763930202676,0.4408586564552457
100.0,796.058009960958,1.1559462701117693
110.0,808.7911648444873,1.5664357923286523
120.0,818.0716230674773,1.865617801560051
130.0,815.6829578392865,1.7886123730370338
140.0,808.2097086486026,1.547690895386615
150.0,789.8053768518779,0.9543748291750251
160.0,774.0366461331355,0.4460248720818209
170.0,768.0047839772644,0.2515706117598636
180.0,772.5811381738357,0.39910242652446093
190.0,771.1904314073305,0.3542690320241749
200.0,770.9840188510185,0.3476147352379421
210.0,767.4824482055158,0.23473163011366982
220.0,753.0041485506723,-0.23201760542081878
230.0,744.9529512169546,-0.4915708879357942
240.0,755.9308006469964,-0.13766863757239356
250.0,778.9686570720643,0.6050222951405879
260.0,797.8856049347276,1.21486400059183
270.0,809.740498315967,1.5970402612679464
280.0,815.4147919896939,1.7799672829174953
290.0,806.2885621427913,1.4857572647591262
300.0,776.2108377624533,0.5161161331471398
310.0,750.2654893797751,-0.3203060857589208
320.0,747.2789364460457,-0.41658612774818526
330.0,743.3273555588503,-0.5439765950144254
340.0,737.9350278287577,-0.7178136411989311
350.0,748.085215405798,-0.390593428531878
360.0,746.2553629731113,-0.4495839346312375
370.0,734.7674886720802,-0.8199282896832382
380.0,739.9870410311099,-0.6516611497919607
390.0,752.1428532327776,-0.2597839136738947
400.0,756.6916985450957,-0.11313892616123074
410.0,752.6563022162006,-0.24323142296629405
420.0,739.3878374512426,-0.6709781842158918
430.0,716.2012184101866,-1.4184649036541026
440.0,693.2666505093906,-2.1578260365361177
450.0,697.5621483999469,-2.0193484249067417
460.0,720.9773687956458,-1.264492089556068
470.0,729.8726235548638,-0.9777282113571114
480.0,737.548891891921,-0.7302618331570682
490.0,745.1614862321795,-0.48484816763998617
500.0,750.7298076499665,-0.3053374635572095
