Gap,InAveRT,InAveRT_Z
50.0,416.66044509496055,2.1626983092239453
60.0,410.6638692365313,1.8027817676712312
70.0,405.11448876950635,1.469706047025719
80.0,400.1917397486234,1.1742409608903273
90.0,395.8598962129272,0.914242224824368
100.0,397.1912498477887,0.9941505270214325
110.0,392.788446506418,0.7298927590595071
120.0,392.80853398944475,0.7310984166864896
130.0,395.3834141218546,0.8856436061494155
140.0,392.0620544115153,0.6862944561645138
150.0,391.1726997005981,0.6329150811138371
160.0,394.72094952531677,0.8458822536515792
170.0,392.1821600206052,0.693503236052447
180.0,391.93834440273486,0.6788693389698189
190.0,394.72603262098914,0.8461873427987817
200.0,393.5739362192176,0.7770381212679544
210.0,395.09655979854847,0.8684265111920209
220.0,396.99108217677673,0.9821363946928939
230.0,388.137981174582,0.4507702334114075
240.0,372.45989444163007,-0.49023391433994573
250.0,358.89355621034935,-1.3044901920910812
260.0,350.64992844326514,-1.799275560578699
270.0,348.6103684900915,-1.9216906491169026
280.0,354.21190247883874,-1.5854846561941383
290.0,361.9301590470677,-1.1222322474134467
300.0,367.2027955352928,-0.8057667953773393
310.0,368.4743140496106,-0.7294498176557601
320.0,365.8062057387118,-0.889590594395352
330.0,364.3088798526192,-0.9794606080869597
340.0,368.11070732048825,-0.7512736183581316
350.0,369.6851902925867,-0.6567726098776434
360.0,369.66395744032656,-0.6580470129592
370.0,368.171488080354,-0.7476255362859151
380.0,363.59229380397153,-1.0224703487194673
390.0,362.1158107738122,-1.111089367042937
400.0,367.1418214903763,-0.8094264784846555
410.0,375.67018268104783,-0.2975513121688379
420.0,388.883236266678,0.49550069987331224
430.0,394.11475127209945,0.8094980263951892
440.0,387.7195446384865,0.42565552887230107
450.0,385.31874301273183,0.2815585911372211
460.0,382.19023368263953,0.09378438717723571
470.0,376.8180591322897,-0.2286553735174431
480.0,371.27624147486927,-0.5612771717342997
490.0,366.6225592553432,-0.840592776085865
500.0,361.96704764939074,-1.1200181808387446
