Gap,Tone,tGap,Key,RT
220,1,220,M,1094
450,1,450,C,862
300,1,300,C,1142
250,1,250,M,901
120,1,120,M,907
190,1,190,C,1104
450,2,450,C,976
340,1,340,M,1118
80,2,80,M,864
500,1,500,C,1088
460,1,460,C,1441
200,2,200,C,1066
440,1,440,M,1143
210,1,210,M,1068
270,1,270,M,2062
410,2,410,C,828
150,1,150,M,1066
290,2,290,C,1237
470,2,470,C,941
90,2,90,M,917
100,1,100,M,1187
500,2,500,C,812
80,1,80,M,905
390,1,390,C,1843
490,1,490,M,2457
290,1,290,M,1183
190,2,190,C,1066
440,2,440,C,1221
360,1,360,C,2502
470,1,470,M,2659
140,1,140,M,1425
370,2,370,C,929
330,2,330,C,930
130,2,130,M,3041
420,2,420,C,1592
320,1,320,M,2265
140,2,140,C,1115
480,2,480,C,897
310,1,310,C,1767
60,2,60,M,1390
430,1,430,M,1243
370,1,370,M,2272
300,2,300,C,1152
200,1,200,C,901
90,1,90,M,1204
100,2,100,C,1419
410,1,410,M,873
120,2,120,C,990
250,2,250,M,1157
60,1,60,M,970
400,2,400,C,830
150,2,150,C,932
260,1,260,M,1014
480,1,480,M,961
110,1,110,M,918
330,1,330,M,1199
310,2,310,C,1202
320,2,320,C,805
350,2,350,M,968
70,1,70,M,997
460,2,460,C,863
260,2,260,C,2112
160,2,160,M,2553
240,2,240,M,2520
170,2,170,M,3969
70,2,70,M,1470
230,2,230,C,844
210,2,210,C,1044
180,1,180,M,1102
240,1,240,M,1035
420,1,420,M,1037
230,1,230,M,1253
280,1,280,M,2415
380,1,380,M,1513
130,1,130,M,1356
110,2,110,C,1116
490,2,490,C,788
360,2,360,M,1008
400,1,400,M,938
340,2,340,C,1614
430,2,430,C,884
50,2,50,C,1483
390,2,390,C,3137
50,1,50,M,793
350,1,350,M,836
270,2,270,C,1625
380,2,380,M,1528
220,2,220,M,1109
280,2,280,M,1088
170,1,170,M,1284
180,2,180,C,835
160,1,160,M,2195
